season,week,scheme,eliminated_count,spearman_corr,kendall_tau,elimination_pressure
29,4,rank,1,0.16084783452700216,0.11475409836065574,9.5
29,5,rank,1,-0.15648887758224425,-0.1111111111111111,9.5
29,6,rank,1,-0.3404382713737103,-0.2916666666666667,8.5
29,7,rank,2,0.3292941923608177,0.23076923076923078,3.0
29,8,rank,1,0.21688321172034594,0.15384615384615385,4.5
29,9,rank,1,-0.0363696483726654,0.05263157894736842,5.0
29,10,rank,2,-0.08827348295047496,-0.07692307692307693,1.0
30,2,rank,1,-0.1294997541905147,-0.1111111111111111,14.0
30,3,rank,1,-0.09789386897660948,-0.04878048780487805,6.5
30,4,rank,2,-0.242760699030339,-0.22666666666666666,2.0
30,5,rank,1,-0.6643193791779622,-0.5909090909090909,3.0
30,6,rank,1,0.08670767080511402,0.02564102564102564,9.0
30,7,rank,1,-0.612904702146299,-0.5625,8.0
30,8,rank,2,-0.8539125638299666,-0.76,3.0
30,9,rank,2,0.02898855178262242,0.14285714285714285,2.5
31,1,rank,1,0.12583550874377536,0.09734513274336283,14.0
31,2,rank,1,0.12961721430916628,0.061224489795918366,13.0
31,3,rank,1,-0.019889806323953874,-0.05747126436781609,12.0
31,4,rank,1,-0.5139206133627215,-0.4084507042253521,12.0
31,5,rank,2,-0.13333415410627575,-0.09375,7.0
31,6,rank,1,-0.31993948660418237,-0.2631578947368421,7.5
31,7,rank,1,-0.13445852909056286,-0.11764705882352941,7.0
31,8,rank,2,0.277128548309331,0.3076923076923077,2.0
31,9,rank,2,0.6179143806533246,0.5384615384615384,2.0
32,1,rank,1,-0.19934153773265645,-0.15294117647058825,12.0
32,2,rank,1,-0.002774055847787919,0.027777777777777776,7.0
32,3,rank,1,-0.30228891160317595,-0.1746031746031746,11.5
32,4,rank,1,-0.3364376827267402,-0.24,5.5
32,5,rank,1,0.06273323266748675,0.10526315789473684,6.5
32,6,rank,1,0.03333333333333333,0.05555555555555555,5.0
32,7,rank,1,0.14458880781356398,0.07692307692307693,1.5
32,8,rank,1,-0.07142857142857144,-0.047619047619047616,4.0
32,9,rank,1,0.6,0.4666666666666667,6.0
33,2,rank,2,0.339865833823158,0.34285714285714286,2.5
33,3,rank,2,0.3105055201845117,0.20754716981132076,2.0
33,4,rank,1,-0.11009637651263605,-0.04,4.0
33,5,rank,1,-0.6794785402726762,-0.6521739130434783,6.0
33,6,rank,1,-0.587378478571482,-0.4444444444444444,2.0
33,7,rank,1,-0.942857142857143,-0.8666666666666667,6.0
34,2,rank,2,0.159774617173396,0.15384615384615385,3.5
34,3,rank,1,-0.15959052346980193,-0.15254237288135594,10.5
34,4,rank,1,0.0696207489611484,0.041666666666666664,4.5
34,6,rank,1,0.04321728755030377,0.0,8.0
34,7,rank,1,-0.30125786715206027,-0.2,6.0
34,8,rank,1,-0.03592878785739777,-0.037037037037037035,6.0
34,9,rank,1,-0.2594372608313854,-0.2222222222222222,6.0
34,10,rank,1,0.44136741475237473,0.38461538461538464,1.0
