season,celebrity_name,rule,predicted_placement,placement
13,Elisabetta Canalis,percent,11,11
13,Kristin Cavallari,percent,10,10
13,Chynna Phillips,percent,9,9
13,Carson Kressley,percent,8,8
13,Chaz Bono,percent,7,7
13,David Arquette,percent,6,6
13,Nancy Grace,percent,5,5
13,Hope Solo,percent,4,4
13,Ricki Lake,percent,1,3
13,Rob Kardashian,percent,1,2
13,J.R. Martinez,percent,1,1
14,Martina Navratilova,fair,12,12
14,Jack Wagner,fair,11,11
14,Sherri Sheperd,fair,10,10
14,Gavin DeGraw,fair,9,9
14,Gladys Knight,fair,8,8
14,Jaleel White,fair,7,7
14,Melissa Gilbert,fair,6,5
14,Roshon Fegan,fair,5,6
14,Maria Menounos,fair,4,4
14,Katherine Jenkins,fair,1,2
14,Donald Driver,fair,1,1
14,William Levy,fair,1,3
14,Martina Navratilova,rank,12,12
14,Jack Wagner,rank,11,11
14,Sherri Sheperd,rank,10,10
14,Gavin DeGraw,rank,9,9
14,Gladys Knight,rank,8,8
14,Jaleel White,rank,7,7
14,Roshon Fegan,rank,6,6
14,Melissa Gilbert,rank,5,5
14,William Levy,rank,4,3
14,Katherine Jenkins,rank,1,2
14,Donald Driver,rank,1,1
14,Maria Menounos,rank,1,4
14,Martina Navratilova,percent,12,12
14,Jack Wagner,percent,11,11
14,Sherri Sheperd,percent,10,10
14,Gavin DeGraw,percent,9,9
14,Gladys Knight,percent,8,8
14,Jaleel White,percent,7,7
14,Melissa Gilbert,percent,6,5
14,Roshon Fegan,percent,5,6
14,Maria Menounos,percent,4,4
14,Katherine Jenkins,percent,1,2
14,Donald Driver,percent,1,1
14,William Levy,percent,1,3
15,Pamela Anderson,fair,13,13
15,Joey Fatone,fair,12,12
15,Drew Lachey,fair,11,11
15,Helio Castroneves,fair,10,10
15,Bristol Palin,fair,9,9
15,Sabrina Bryan,fair,8,8
15,Kirstie Alley,fair,7,7
15,Gilles Marini,fair,6,6
15,Emmitt Smith,fair,5,4
15,Apolo Anton Ohno,fair,4,5
15,Melissa Rycroft,fair,1,1
15,Kelly Monaco,fair,1,3
15,Shawn Johnson,fair,1,2
15,Pamela Anderson,rank,13,13
15,Joey Fatone,rank,12,12
15,Helio Castroneves,rank,11,10
15,Drew Lachey,rank,10,11
15,Bristol Palin,rank,9,9
15,Sabrina Bryan,rank,8,8
15,Gilles Marini,rank,7,6
15,Kirstie Alley,rank,6,7
15,Apolo Anton Ohno,rank,5,5
15,Emmitt Smith,rank,4,4
15,Melissa Rycroft,rank,1,1
15,Kelly Monaco,rank,1,3
15,Shawn Johnson,rank,1,2
15,Pamela Anderson,percent,13,13
15,Joey Fatone,percent,12,12
15,Drew Lachey,percent,11,11
15,Helio Castroneves,percent,10,10
15,Bristol Palin,percent,9,9
15,Sabrina Bryan,percent,8,8
15,Kirstie Alley,percent,7,7
15,Gilles Marini,percent,6,6
15,Emmitt Smith,percent,5,4
15,Apolo Anton Ohno,percent,4,5
15,Melissa Rycroft,percent,1,1
15,Kelly Monaco,percent,1,3
15,Shawn Johnson,percent,1,2
16,Dorothy Hamill,fair,12,12
16,Wynonna Judd,fair,11,11
16,Lisa Vanderpump,fair,10,10
16,D. L. Hughley,fair,9,9
16,Victor Ortiz,fair,8,8
16,Andy Dick,fair,7,7
16,Sean Lowe,fair,6,6
16,Ingo Rademacher,fair,5,5
16,Jacoby Jones,fair,1,3
16,Kellie Pickler,fair,1,1
16,Alexandra Raisman,fair,1,4
16,Zendaya,fair,1,2
16,Dorothy Hamill,rank,12,12
16,Wynonna Judd,rank,11,11
16,Lisa Vanderpump,rank,10,10
16,D. L. Hughley,rank,9,9
16,Victor Ortiz,rank,8,8
16,Andy Dick,rank,7,7
16,Sean Lowe,rank,6,6
16,Ingo Rademacher,rank,5,5
16,Jacoby Jones,rank,1,3
16,Kellie Pickler,rank,1,1
16,Alexandra Raisman,rank,1,4
16,Zendaya,rank,1,2
16,Dorothy Hamill,percent,12,12
16,Wynonna Judd,percent,11,11
16,Lisa Vanderpump,percent,10,10
16,D. L. Hughley,percent,9,9
16,Victor Ortiz,percent,8,8
16,Andy Dick,percent,7,7
16,Sean Lowe,percent,6,6
16,Ingo Rademacher,percent,5,5
16,Jacoby Jones,percent,1,3
16,Kellie Pickler,percent,1,1
16,Alexandra Raisman,percent,1,4
16,Zendaya,percent,1,2
17,Keyshawn Johnson,fair,12,12
17,Bill Nye,fair,11,11
17,Valerie Harper,fair,10,10
17,Christina Milian,fair,9,9
17,"Nicole ""Snooki"" Polizzi",fair,8,8
17,Brant Daugherty,fair,7,7
17,Elizabeth Berkley Lauren,fair,6,6
17,Leah Remini,fair,5,5
17,Corbin Bleu,fair,1,2
17,Bill Engvall,fair,1,4
17,Amber Riley,fair,1,1
17,Jack Osbourne,fair,1,3
17,Keyshawn Johnson,rank,12,12
17,Bill Nye,rank,11,11
17,Valerie Harper,rank,10,10
